nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj
AB MAISONS,,,"",sav@izivia.com,0972668001,AB MAISONS,FROTHPOTHR17311,FR*SOD*S*OTHR*173*1*_*_,AB MAISONS - AUCH,Voirie,132a Route d'Agen 32000 Auch,32000,"[43.660243,0.599025]",2,FROTHEOTHR17311,FR*SOD*E*OTHR*173*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-02-03,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
AB MAISONS,,,"",sav@izivia.com,0972668001,AB MAISONS,FROTHPOTHR17321,FR*SOD*S*OTHR*173*2*_*_,AB MAISONS - AUCH,Voirie,132a Route d'Agen 32000 Auch,32000,"[43.660243,0.599025]",2,FROTHEOTHR17321,FR*SOD*E*OTHR*173*2*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-05-05,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
AB MAISONS,,,"",sav@izivia.com,0972668001,AB MAISONS,FROTHPOTHR17311,FR*SOD*S*OTHR*173*1*_*_,AB MAISONS - AUCH,Voirie,132a Route d'Agen 32000 Auch,32000,"[43.660243,0.599025]",2,FROTHEOTHR17311,FR*SOD*E*OTHR*173*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-02-03,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
AB MAISONS,,,"",sav@izivia.com,0972668001,AB MAISONS,FROTHPOTHR17321,FR*SOD*S*OTHR*173*2*_*_,AB MAISONS - AUCH,Voirie,132a Route d'Agen 32000 Auch,32000,"[43.660243,0.599025]",2,FROTHEOTHR17321,FR*SOD*E*OTHR*173*2*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-05-05,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ACC HUSSE,,,Sodetrel,sav@izivia.com,0972668001,ACC HUSSE,FROTHPOTHR23121,FR*SOD*S*OTHR*231*2*_*_,ACC HUSSE - GRANDCHAMPS DES FONTAINES,Voirie,2 Rue marie curie 44119 Grandchamps-des-Fontaines,44119,"[47.374714,-1.645632]",2,FROTHEOTHR23121,FR*SOD*E*OTHR*231*2*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-05-21,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ACC HUSSE,,,Sodetrel,sav@izivia.com,0972668001,ACC HUSSE,FROTHPOTHR23111,FR*SOD*S*OTHR*231*1*_*_,ACC HUSSE - GRANDCHAMPS DES FONTAINES,Voirie,2 Rue marie curie 44119 Grandchamps-des-Fontaines,44119,"[47.374714,-1.645632]",2,FROTHEOTHR23111,FR*SOD*E*OTHR*231*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-05-21,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ACC HUSSE,,,Sodetrel,sav@izivia.com,0972668001,ACC HUSSE,FROTHPOTHR23121,FR*SOD*S*OTHR*231*2*_*_,ACC HUSSE - GRANDCHAMPS DES FONTAINES,Voirie,2 Rue marie curie 44119 Grandchamps-des-Fontaines,44119,"[47.374714,-1.645632]",2,FROTHEOTHR23121,FR*SOD*E*OTHR*231*2*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-05-21,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ACC HUSSE,,,Sodetrel,sav@izivia.com,0972668001,ACC HUSSE,FROTHPOTHR23111,FR*SOD*S*OTHR*231*1*_*_,ACC HUSSE - GRANDCHAMPS DES FONTAINES,Voirie,2 Rue marie curie 44119 Grandchamps-des-Fontaines,44119,"[47.374714,-1.645632]",2,FROTHEOTHR23111,FR*SOD*E*OTHR*231*1*1*_,22,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2021-05-21,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP111,FR*SOD*S*GADP*1*1*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP111,FR*SOD*E*GADP*1*1*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP142,FR*SOD*S*GADP*1*4*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP142,FR*SOD*E*GADP*1*4*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP1102,FR*SOD*S*GADP*1*10*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP1102,FR*SOD*E*GADP*1*10*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP151,FR*SOD*S*GADP*1*5*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP151,FR*SOD*E*GADP*1*5*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP181,FR*SOD*S*GADP*1*8*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP181,FR*SOD*E*GADP*1*8*1*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
ADP PUBLIC,,,Sodetrel,sav@izivia.com,0972668001,ADP PUBLIC,FROTHPGADP182,FR*SOD*S*GADP*1*8*_*_,CDGP - P1,Voirie,1100 Aeroport Charles de Gaulle 77990 Mauregard,77990,"[49.013870,2.541442]",20,FROTHEGADP182,FR*SOD*E*GADP*1*8*2*_,7,true,true,false,false,false,false,true,false,true,"",Accès libre,false,24/7,Accessibilité inconnue,Aucune Restriction,false,Direct,N/A,2017-12-15,Conditions accès aux bornes dépendantes des accords et formules de votre EMSP,2022-12-22
